contig	cov_mean_sample_Sample118	cov_mean_sample_Sample120	cov_mean_sample_Sample127	cov_mean_sample_Sample134	cov_mean_sample_Sample177	cov_mean_sample_Sample215	cov_mean_sample_Sample230	cov_mean_sample_Sample234	cov_mean_sample_Sample244	cov_mean_sample_Sample261	cov_mean_sample_Sample263	cov_mean_sample_Sample290	cov_mean_sample_Sample302	cov_mean_sample_Sample321	cov_mean_sample_Sample330	cov_mean_sample_Sample343
NODE_309_length_63619_cov_8.319213.0	1.800000	4.247800	2.637900	0	0	0	3.778200	0	3.987100	1.168400	0.259100	1.087800	4.767800	4.617400	2.796900	1.868900
NODE_309_length_63619_cov_8.319213.3	1.569800	4.448100	2.767500	0	0	0	3.695400	0	4.215300	0.929700	0.378800	1.358400	4.277900	4.986900	2.638200	1.559600
NODE_258_length_263280_cov_8.177872.13	1.750000	4.736100	2.758000	0	0	0	3.599100	0	4.244000	0.949100	0.290000	1.148200	4.084600	4.662700	2.877100	1.808000
NODE_240_length_214_cov_4.116822	0.704225	0	1.056339	0	0	0	0	0	0	1.056338	0.704224	0	0.704225	0	0	1.408450
NODE_157_length_58632_cov_8.156433.2	1.777200	4.097500	2.769500	0	0	0	3.586900	0	4.934500	0.848100	0.310000	0.938900	4.249400	4.544100	2.867500	1.526300
NODE_505_length_906976_cov_6.853119.84	1.709400	0.139000	0.739500	0.100000	6.677100	6.142000	0.299700	2.086100	0	2.756600	5.434700	1.369500	0	0.379800	0.120000	0
NODE_157_length_58632_cov_8.156433.3	1.938600	4.308100	2.845000	0	0	0	4.824500	0	4.424500	0.850000	0.560000	1.050000	3.575800	4.983400	2.497600	1.426900
NODE_306_length_95_cov_10.905263	2.915149	1.672726	1.793938	0	0	0	4.242428	0	2.957577	1.212121	1.181818	1.793938	3.569700	4.824245	2.369695	1.212120
NODE_505_length_906976_cov_6.853119.87	2.218700	0.090000	0.779900	0.300000	6.401000	5.396000	0.419100	3.118500	0	3.076300	5.557400	1.789200	0	0.440000	0.300000	0.559800
NODE_17_length_117_cov_22.692308	2.673802	6.882349	5.283423	0	0	0	2.101605	0	8.459892	2.122998	0.534759	0.534759	5.251340	3.673796	3.604274	3.192511
NODE_38_length_204_cov_6.171568	5.748172	0	2.554743	0	0	4.350365	2.189780	0	0	0.364964	0.729927	0	2.919707	0	0	0.729928
NODE_489_length_157263_cov_6.771033.13	1.808900	0.050000	0.899700	0.150000	6.926500	5.967500	0.339900	2.507900	0	2.849500	5.163700	1.378200	0	0.438800	0.180000	0
NODE_505_length_906976_cov_6.853119.89	1.565413	0.082131	0.703977	0.046932	6.121786	5.178335	0.363721	1.811685	0	3.043299	5.300944	1.442335	0	0.410654	0.246334	0
NODE_505_length_906976_cov_6.853119.18	1.968200	0.099800	0.958700	0.080000	6.745600	6.421400	0.299600	2.268500	0	2.697900	5.348100	1.656300	0	0.410000	0.210000	0
NODE_505_length_906976_cov_6.853119.19	1.589200	0.050000	0.869800	0.080000	5.735900	5.956900	0.390000	2.319100	0	3.104800	5.626700	1.439100	0	0.290000	0.100000	0
NODE_337_length_443_cov_3.494357	0.768032	0.557505	0.758285	0	0	0	0.779727	0	1.744640	0	0	0.194932	1.124757	0.974662	0.964911	0
NODE_505_length_906976_cov_6.853119.88	1.647600	0.090000	0.809600	0.020000	6.242700	5.724200	0.380000	2.128700	0	3.317700	5.663600	1.618600	0	0.350000	0.140000	0
NODE_505_length_906976_cov_6.853119.12	1.640000	0.050000	0.790000	0.080000	5.025100	5.703100	0.389100	1.779200	0	2.674700	5.784200	1.680000	0	0.549800	0.060000	0
NODE_505_length_906976_cov_6.853119.13	1.648700	0.050000	0.716800	0.100000	5.933200	5.566500	0.300000	2.148300	0	2.595500	5.045900	1.190000	0	0.340000	0.170000	0
NODE_505_length_906976_cov_6.853119.10	1.758700	0.090000	0.549800	0.060000	6.775900	5.515200	0.408700	2.279000	0	2.819600	5.437900	1.639800	0	0.408800	0.100000	0
NODE_505_length_906976_cov_6.853119.11	1.689100	0.070000	0.639400	0.070000	6.145600	6.655200	0.330000	2.468700	0	2.676900	5.917200	1.309700	0	0.370000	0.180000	0
NODE_74_length_5532_cov_8.931309	1.963050	4.298285	3.336308	0	0	0	4.191353	0	4.425209	1.820065	0.498037	1.159586	4.673155	4.995537	3.202244	2.460906
NODE_505_length_906976_cov_6.853119.17	1.567000	0.130000	0.709600	0.020000	6.336200	5.844100	0.209200	2.455100	0	2.586600	4.948700	1.798100	0	0.359900	0.149500	0
NODE_261_length_321461_cov_8.199894.10	1.398400	4.062300	3.256500	0	0	0	4.106000	0	4.704800	1.048200	0.230000	1.248800	4.019200	5.045600	3.249700	1.440000
NODE_40_length_176_cov_16.011364	0	0.406504	0.406504	0	0	0	0.813009	0	0.813009	0.406504	0	0	0	0.406504	0	0.406504
NODE_260_length_165083_cov_8.801846.3	2.647800	5.085700	3.876100	0	0	0	3.997800	0	5.074500	2.519700	0.560000	1.569300	4.833300	4.923500	3.528800	3.793000
NODE_384_length_183_cov_15.349727	1.581026	3.150200	3.869563	0	0	0	3.893280	0	5.814229	0.790514	0.790514	0.790514	3.501981	7.754935	2.679844	1.581028
NODE_317_length_182_cov_8.307693	1.976188	1.984128	1.984128	0	0	0	0.396825	0	2.380952	0	0	0.396825	3.174600	3.162697	1.527777	0
NODE_290_length_1962_cov_6.746177	1.525591	5.413389	2.944881	0	0	0	4.079231	0	3.885336	0.929626	0.049213	1.427166	4.221458	4.773624	1.968506	1.377954
NODE_162_length_92_cov_11.836957	0	0	0	0	0	1.234568	0	0	0	0	0	0	0	0	0	0
